box_office,film_actor,film_director,film_name,film_theme,img,release_time,score
3740万,"范伟,贾静雯,刘俊昊,薛之谦",王啸坤,有完没完,"剧情,喜剧,爱情",https://p0.meituan.net/movie/5a9847f9263fa069e28cbdad7984844c755880.jpg@464w_644h_1e_1c,2017-04-01,8.1
766万,"徐娇,胡夏,鲁诺,王力宏",彭发,会痛的十七岁,爱情,https://p0.meituan.net/movie/7f004865bcc665ebc87ed558f5ab64e9751087.jpg@464w_644h_1e_1c,2017-09-15,7.8
5622万,"杰里米·德格鲁森,克里斯托弗·L·帕森,孟令军,帕皮·福克纳",本·斯塔森,我的爸爸是森林之王,"喜剧,动画",https://p1.meituan.net/movie/56d93b52d4613af2e83de4353841a68d405947.jpg@464w_644h_1e_1c,2017-10-14,9.1
1.06亿,"贾乃亮,马丽,梁超,王迅",郭大雷,东北往事之破马张飞,"喜剧,动作",https://p1.meituan.net/movie/4c50ed451ffc34ba96c66818d156f82d313572.jpg@464w_644h_1e_1c,2017-02-03,7.2
240万,"Bertha,王力宏,撒贝宁,中曾根梨乃",王力宏,火力全开,"音乐,纪录片",https://p1.meituan.net/movie/f34b13e6f79c6d736ffbf996b1f60267374252.jpg@464w_644h_1e_1c,2017-10-20,9.6
940万,"余文乐,曾志伟,方皓玟,金燕玲",黄进,一念无明,"剧情,家庭",https://p1.meituan.net/movie/ae29c9c2ee4528046316e15746ebb7ef560801.jpg@464w_644h_1e_1c,2017-04-07,8.4
4329万,"李晔,潘延,范楚绒,胡谦",速达,大耳朵图图之美食狂想曲,"喜剧,动画,冒险",https://p1.meituan.net/movie/1eb7dc53464f846cf74e667bb4b7f298422855.jpg@464w_644h_1e_1c,2017-07-28,8.8
4778万,"理查德·戴尔,罗伯特·雷德福,成龙,佐佐木藏之介",彼得·韦柏,地球：神奇的一天,纪录片,https://p1.meituan.net/movie/5568cc4d4fb01053ca856f8bf50720021284663.jpg@464w_644h_1e_1c,2017-08-11,9.0
208万,"涂们,王超北,阿拉腾乌拉,伊丹纳",周子阳,老兽,"剧情,家庭",https://p1.meituan.net/movie/ab6a7047e10905986468a7d4f76401ba1010475.jpg@464w_644h_1e_1c,2017-12-11,7.7
1762万,"奥兰多·布鲁姆,吴磊,任达华,昆凌",查尔斯·马丁,极致追击,"动作,犯罪,冒险",https://p0.meituan.net/movie/21c54ccf6f7de914b3d37f9feecc3f88174829.jpg@464w_644h_1e_1c,2017-09-30,6.9
6951万,"夏雨,闫妮,潘斌龙,宋茜",伍仕贤,反转人生,"喜剧,奇幻",https://p0.meituan.net/movie/fef75ce276038b1cfe4fb1f4a517beb9116864.jpg@464w_644h_1e_1c,2017-06-29,8.1
1294万,"阿里尔·舒曼,艾玛·罗伯茨,戴夫·弗兰科,艾米丽·梅德",亨利·朱斯特,玩命直播,"动作,冒险,惊悚",https://p0.meituan.net/movie/5f93a6f494de4778dedd0dff1671663f190718.jpg@464w_644h_1e_1c,2017-01-06,8.3
1473万,"科林·费斯,裘德·洛,妮可·基德曼,盖·皮尔斯",迈克尔·格兰达吉,天才捕手,"剧情,传记",https://p1.meituan.net/movie/f61091a2c7dc541d472c9027ffd211856476496.jpg@464w_644h_1e_1c,2017-03-10,8.0
3317万,"任达华,陈小春,伍允龙,邱意浓",阚家伟,黑白迷宫,"剧情,动作,犯罪",https://p1.meituan.net/movie/df2ce28f747b28637a8f76781a3207ff280058.jpg@464w_644h_1e_1c,2017-09-01,7.8
1023万,"陈都灵,林柏宏,汪铎,郝劭文",张天辉,推理笔记,"剧情,悬疑",https://p1.meituan.net/movie/ca31e57f11dab49d7949ecdfa8ed7cbd411327.jpg@464w_644h_1e_1c,2017-11-24,7.6
1210万,"孙集斌,高晓攀,尤宪超,于莎莎",高晓攀,兄弟，别闹！,"剧情,喜剧",https://p0.meituan.net/movie/c67220e9e38f77dfcbe9931d35c85776544699.jpg@464w_644h_1e_1c,2017-11-10,7.2
1149万,"苏查拉·玛娜英,李川,陈立谦,卢洋",李勇昌,怨灵2,"恐怖,惊悚,悬疑",https://p0.meituan.net/movie/0ec32230215a71f472eb3536c12ce8c05338661.jpg@464w_644h_1e_1c,2017-10-12,7.0
1602万,"舒淇,王千源,张孝全,林美秀",陈玉勋,健忘村,"喜剧,奇幻,武侠",https://p0.meituan.net/movie/cd23a5f30b3918cf241074bad9589d0d421744.jpg@464w_644h_1e_1c,2017-01-27,6.9
